Nopal crudo de cambray,1,4,pieza,100,100,27,1.7,0.3,2.9,3.5,0,0,0,0,0,ND,ND,,,,,,,,,,
"Palmito, enlatado",1,1,pieza,33,33,30,0.8,0.2,1.5,0.8,0,2.6,12.9,1,58.4,ND,ND,,,,,,,,,,
Papaloquite crudo,1,2,taza,120,108,24,1.9,0.3,3.1,1,69.7,20.5,ND,2.6,ND,ND,ND,,,,,,,,,,
Papilla de verduras mixtas,1,1/3,frasco,43,43,19,0.5,0,4.1,0.6,58.3,1.3,3.4,0.1,51.9,ND,ND,,,,,,,,,,
Pepinillos crudos,1,1/3,taza,80,80,23,1.1,1,3.3,0,0,0,0,2.1,0,ND,ND,,,,,,,,,,
Pepinillos dulces,1,1,cuchara,15,15,20,0.1,0.1,5.3,0.2,2,0,0,0.1,4,ND,ND,,,,,,,,,,
Pepino con cáscara rebanado,1,1,taza,104,104,16,0.7,0.1,3.8,0.5,5.2,2.9,7.3,0.3,152.9,ND,ND,,,,,,,,,,
Perejil crudo picado,1,1,taza,60,60,22,1.8,0.5,3.8,2,252.6,80,91.2,3.7,332.4,ND,ND,,,,,,,,,,
Pimiento amarillo crudo chico,1,1,pieza,75,64,17,0.7,0.1,4,0.6,6.4,116.9,16.6,0.3,135,ND,ND,,,,,,,,,,
Pimiento cocido,1,1/2,taza,68,68,19,0.6,0.1,4.6,0.8,40,51,11,0.3,113,ND,ND,,,,,,,,,,
Pimiento fresco,1,1,taza,60,60,17,0.5,0.1,3.8,1.1,38.4,54,13.2,0.3,106.8,ND,ND,,,,,,,,,,
Pimiento rojo crudo chico,1,1,pieza,75,64,17,0.7,0.1,4,0.6,100.1,81.4,29.3,0.3,134.5,ND,ND,,,,,,,,,,
Pimiento verde crudo chico,1,1,pieza,75,64,17,0.7,0.1,4,0.6,11.5,51.3,6.4,0.2,111.6,ND,ND,,,,,,,,,,
Poro crudo,1,1/4,taza,40,32,21,0.5,0.1,4.5,1.2,26.6,3.5,20.5,0.7,57.6,ND,ND,,,,,,,,,,
Puerro crudo,1,1/4,pieza,22,22,14,0.3,0.1,3.2,0.9,18.5,2.7,14.2,0.5,40.1,ND,ND,,,,,,,,,,
Puerro hervido sin sal,1,1/2,pieza,62,62,19,0.5,0.1,4.7,0.6,25.4,2.6,14.9,0.7,53.9,ND,ND,,,,,,,,,,
Puré de tomate enlatado,1,1/4,taza,63,63,24,1,0.1,5.6,1.5,16.3,6.6,6.9,1.1,274.4,ND,ND,,,,,,,,,,
Quelite crudo,1,80,g,80,66,26,3.1,0.3,2.6,0.8,213.2,26.2,ND,2.4,400.8,ND,ND,,,,,,,,,,
Rábano crudo rebanado,1,1,taza,116,104,17,0.7,0.1,3.5,1.7,0,15.5,26.1,0.4,243.3,ND,ND,,,,,,,,,,
Romerito crudo,1,120,g,120,72,26,2.6,0.1,3.5,0.7,112,2.9,ND,1.8,ND,ND,ND,,,,,,,,,,
Salsa de chile,1,1/2,taza,115,115,28,1.2,0.2,5.2,2.8,4.6,2.3,0,0.6,234.6,ND,ND,,,,,,,,,,
Salsifí,1,35,g,35,23,18,0.3,0,4,0.4,0,1.8,ND,0.2,86.5,ND,ND,,,,,,,,,,
Semilla de guaje verde,1,5,g,65,29,28,2.5,0.2,4,0.5,2.3,11.7,ND,1.1,ND,ND,ND,,,,,,,,,,
Setas cocidas,1,1/2,taza,78,78,21,2.5,0.3,3.4,2,0,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Setas crudas,1,100,g,100,85,23,2.7,0.3,3.7,2.1,0,2.6,17.9,3.7,314.5,ND,ND,,,,,,,,,,
Tomate verde,1,5,pieza,100,86,21,0.9,0.2,3.9,2.1,1.7,1.7,ND,0.4,175.4,ND,ND,,,,,,,,,,
Tomatitos (tomatiles),1,75,g,75,65,26,2.3,0.1,4.1,0.8,112.6,29.7,ND,4.5,131.6,ND,ND,,,,,,,,,,
Verdolaga cocida,1,1,taza,115,115,21,1.7,0.2,4.1,0.9,107,12.1,10.4,0.9,561.1,ND,ND,,,,,,,,,,
